source,vendor,date,total,currency,mean_confidence,min_confidence,num_lines,category
X00016469670,tan chay yee,2019-01-15,193.00,,0.9770,0.7530,45,other
X00016469671,tan chay yee,2019-01-02,170.00,,0.9768,0.8374,39,other
X51005200931,PERNIAGAAN ZHENG HUI,2018-02-09,436.20,USD,0.9696,0.6119,87,other
X51005230605,PETRON BKT LANJAN SB,2018-02-01,6.00,,0.9780,0.7942,38,fuel
X51005230616,Gerbang Alaf Restaurants Sdn Bhd,2018-01-18,50.00,,0.9898,0.9423,46,dining
X51005230621,SIN LianHAp SON BhD,2018-02-05,7.30,,0.9068,0.2329,58,other
X51005230648,CROSS CHANNEL NETWORK SDN. BHD.,2018-01-29,10.00,,0.9802,0.9003,43,other
X51005230657,CROSS CHANNEL NETWORK SDN. BHD.,2017-12-31,10.00,,0.9781,0.7385,54,other
X51005230659,SWC ENTERPRISE SDN BHD,2018-01-08,10.00,,0.9558,0.3954,35,groceries
X51005268275,LIGHTROOM GALLERY SDN BHD,2017-11-20,278.80,,0.9696,0.6738,88,other
X51005268408,99 SPEED MART 5/B (519537-X),,200.00,,0.9082,0.1782,40,groceries
X51005288570,SECURE PARKING,,23.03,,0.9803,0.8425,34,services
X51005301666,LIGHTROOM GALLERY SDN BHD,2017-11-20,278.80,,0.9696,0.6738,88,other
X51005337867,OLDTOWN WHITE COFFEE,,30.25,,0.9725,0.7403,59,dining
X51005337877,UROKO JAPANESE CUISINE SDN BHD,2018-03-20,53.00,,0.9847,0.7180,50,other
X51005361906,Hepta),2018-01-27,27.35,,0.9464,0.2592,79,other
X51005361908,TED HENG STATIDNERY & BOOKS,2018-03-15,127.20,,0.9813,0.8450,59,other
X51005361912,TEO HENG STATIONERY & BOOKS,2018-01-29,6.00,,0.9897,0.8892,56,retail
X51005361923,SWC ENTERPRISE SDN BHD,2018-01-02,50.20,,0.8426,0.2380,40,groceries
X51005365187,F&P PHARMACY,2018-03-02,50.00,,0.9754,0.8368,104,pharmacy
X51005433518,UNIHAKKA INTERNATIONAL SDN BHD,,8.20,USD,0.9816,0.8884,38,other
X51005433543,UNIHAKKA INTERNATIONAL SDN BHD,,8.20,USD,0.9302,0.1652,41,other
X51005433548,PASAR MINI JIN SENG,2018-03-03,50.00,,0.9580,0.3119,54,other
X51005433556,YHM Aeon Tebrau City,2018-03-11,50.00,,0.9752,0.5926,78,other
X51005442322,RESTAURANT,,269.40,,0.9576,0.3958,72,dining
X51005442334,UNIHAKKA INTERNATIONAL SDN BHD,,8.20,USD,0.9727,0.6444,40,other
X51005442343,YONG TAT HARDWARE TRADING,2018-03-13,102.00,,0.9669,0.4443,63,groceries
X51005442366,Triple Six Point Enterprise 666,2018-03-22,22.60,,0.9565,0.3065,39,groceries
X51005442375,UNIHAKKA INTERNATIONAL SDN BHD,,8.50,USD,0.9189,0.2032,44,other
X51005442382,UNIHAKKA INTERNATIONAL SDN BHD,,6.60,USD,0.9275,0.0844,39,other
X51005442388,CONTENTO (JM0761170-K),2018-03-20,30.00,,0.8754,0.1161,33,other
X51005444040,B.I.G.,2018-03-09,140.00,,0.9777,0.6055,54,other
X51005444041,B.I.G.,2018-03-08,81.00,,0.9781,0.7048,71,other
X51005444044,99 SPEED MART S/B (519537-X),,6.00,,0.9807,0.7931,26,groceries
X51005444046,STAR GROCER SDN BHD (1171881-W),2018-03-25,67.00,,0.9810,0.5748,67,groceries
X51005447841,PASARAYA BORONG PINTAR,2018-03-09,4.00,,0.9875,0.8828,63,other
X51005447842,PASARAYA BORONG PINTAR,2018-03-14,1.00,,0.9858,0.8867,42,other
X51005447844,RESTAURANT JIAWEI,,110.00,,0.9811,0.7710,64,dining
X51005447851,PASARAYA BORONG PINTAR,2018-01-30,1.00,,0.9857,0.9331,42,other
X51005447859,PASARAYA BORONG PINTAR,2018-02-14,1.00,,0.9918,0.9584,42,other
